district,sector,industry_opportunity_score,training_pressure_score,evidence_confidence,projection_available,industry_size,organization_count,candidate_aspiration,mssds_trained_2022_23,dsdp_training,projected_training,source,normalized_district,normalized_sector
Chhatrapati Sambhajinagar,Iron & Steel,2.54,,0.5,False,479.0,4.0,31.0,,,,mssds_2023_projection_merged.csv,chhatrapati sambhajinagar,iron & steel
Chhatrapati Sambhajinagar,IT/ITeS,15.56,,0.83,True,17.0,5.0,1742.0,,420.0,0.0,mssds_2023_projection_merged.csv,chhatrapati sambhajinagar,it/ites
Chhatrapati Sambhajinagar,Leather,3.69,,0.5,False,878.0,6.0,3.0,,,,mssds_2023_projection_merged.csv,chhatrapati sambhajinagar,leather
Chhatrapati Sambhajinagar,Life Science,3.39,,0.83,False,531.0,4.0,132.0,50.0,150.0,,mssds_2023_projection_merged.csv,chhatrapati sambhajinagar,life science
Chhatrapati Sambhajinagar,Logistics,3.06,,0.83,False,999.0,4.0,6.0,29.0,40.0,,mssds_2023_projection_merged.csv,chhatrapati sambhajinagar,logistics
Chhatrapati Sambhajinagar,Management,7.88,,0.67,False,1259.0,10.0,264.0,,180.0,,mssds_2023_projection_merged.csv,chhatrapati sambhajinagar,management
Chhatrapati Sambhajinagar,Paints & Coatings,4.71,,0.67,False,1280.0,7.0,10.0,,270.0,,mssds_2023_projection_merged.csv,chhatrapati sambhajinagar,paints & coatings
Chhatrapati Sambhajinagar,Plumbing,0.38,,0.33,False,,,17.0,,150.0,,mssds_2023_projection_merged.csv,chhatrapati sambhajinagar,plumbing
Chhatrapati Sambhajinagar,Power,1.02,,0.5,False,,,46.0,90.0,210.0,,mssds_2023_projection_merged.csv,chhatrapati sambhajinagar,power
Chhatrapati Sambhajinagar,Retail,,,0.33,True,,,,,90.0,150.0,mssds_2023_projection_merged.csv,chhatrapati sambhajinagar,retail
Chhatrapati Sambhajinagar,Rubber,0.88,,0.67,False,36.0,2.0,1.0,,1620.0,,mssds_2023_projection_merged.csv,chhatrapati sambhajinagar,rubber
Chhatrapati Sambhajinagar,Telecom,0.55,0.0,0.67,True,,,25.0,120.0,170.0,0.0,mssds_2023_projection_merged.csv,chhatrapati sambhajinagar,telecom
Chhatrapati Sambhajinagar,Textile,1.51,,0.67,False,480.0,2.0,4.0,,60.0,,mssds_2023_projection_merged.csv,chhatrapati sambhajinagar,textile
Chhatrapati Sambhajinagar,Tourism & Hospitality,3.01,,0.83,False,1667.0,1.0,39.0,628.0,330.0,,mssds_2023_projection_merged.csv,chhatrapati sambhajinagar,tourism & hospitality
Beed,Agriculture,7.51,,0.83,True,186.0,11.0,354.0,,180.0,300.0,mssds_2023_projection_merged.csv,beed,agriculture
Beed,Apparel,1.04,,0.83,False,20.0,1.0,78.0,330.0,330.0,,mssds_2023_projection_merged.csv,beed,apparel
Beed,Automotive,5.56,,0.83,False,2056.0,5.0,88.0,90.0,180.0,,mssds_2023_projection_merged.csv,beed,automotive
